crid,gender,age,race_edit
1043909,F,24.0,Black
1043921,F,40.8,White/Hispanic
1043926,F,32.0,Black
1043927,F,53.7,White
1043930,F,34.3,Black
1043932,F,66.2,Black
1043933,M,44.0,White
1043935,M,31.1,Black
1043936,M,58.4,White
1043943,M,39.3,Black
1043945,F,26.9,Black
1043946,M,50.3,Black
1043947,M,58.4,White
1043949,F,62.8,Black
1043950,M,,Black
1043952,F,54.1,Black
1043958,M,23.5,Black
1043959,F,35.5,Black
1043963,M,,Unknown
1043964,F,30.7,Black
1043965,M,53.4,White
1043968,M,29.1,Black
1043975,M,38.3,Black
1043977,F,40.2,White/Hispanic
1043981,F,41.2,Black
1043985,M,48.2,Black
1043986,F,52.7,White
1043987,M,49.3,Black
1043988,M,46.7,White/Hispanic
1043989,F,36.6,Black
1043990,M,50.4,Black
1043994,F,29.2,White/Hispanic
1043995,F,56.1,White
1043996,M,61.9,White
1043997,F,33.0,Black
1044003,M,25.8,Black
1044004,M,43.0,White/Hispanic
1044005,F,23.2,White
1044006,M,55.9,White
1044008,M,52.1,Black
1044011,F,35.4,White/Hispanic
1044013,M,26.8,Black
1044016,F,33.2,Black
1044017,F,29.2,Black
1044018,F,52.2,Black
1044020,M,37.6,Black
1044022,F,27.1,Black
1044024,M,40.8,Black
1044026,M,27.3,Black
1044027,F,31.6,Black
1044028,F,65.8,White
1044029,M,56.5,Black
1044030,F,40.7,Black
1044030,M,44.4,Black
1044031,F,37.8,Black
1044032,F,54.2,Black
1044034,F,57.8,White
1044037,M,58.4,White
1044039,F,41.9,Black
1044040,F,43.9,Black
1044041,M,36.7,White
1044045,F,,Black
1044047,M,,Black
1044049,F,59.0,White/Hispanic
1044050,F,,White
1044052,M,28.1,Asian
1044055,F,45.0,Black
1044060,F,37.9,Black
1044063,M,48.9,Hispanic
1044064,M,49.4,Black
1044067,M,38.8,Black
1044068,M,36.3,Black
1044071,M,23.7,Black
1044072,F,41.9,Black
1044074,M,40.6,White/Hispanic
1044077,M,46.1,White
1044078,F,56.9,White
1044079,F,56.9,White
1044080,M,34.5,Black
1044086,M,57.2,White
1044087,M,52.4,Black
1044088,M,39.2,Black
1044089,M,,White
1044090,F,45.8,Black
1044092,M,31.9,Black
1044093,M,47.1,White
1044094,F,27.1,Black
1044096,F,38.3,White
1044099,F,55.1,Black
1044100,M,52.5,White/Hispanic
1044102,M,38.6,Black
1044103,F,,Black
1044105,F,54.9,Unknown
1044106,M,46.0,White
1044108,M,45.0,White
1044109,F,41.8,Black
1044112,F,,Black
1044119,M,25.9,Black
1044120,M,25.2,White/Hispanic
1044123,F,41.2,White
1044125,F,46.6,Black
1044126,M,38.3,Black
1044135,M,50.6,White
1044136,M,,White
1044137,F,40.7,Black
1044138,F,59.3,Black
1044140,F,43.0,Black
1044141,M,54.7,White
1044142,M,23.6,White
1044143,F,55.1,Black
1044147,M,23.6,Black
1044148,M,29.3,Black
1044150,M,50.8,Hispanic
1044150,M,49.2,Black
1044155,M,46.2,Black
1044158,F,44.3,White/Hispanic
1044161,M,54.9,White
1044164,F,29.7,Black
1044165,F,57.9,Black
1044171,M,30.3,Black
1044172,M,23.2,Black
1044173,M,,Black
1044175,M,26.7,Black
1044176,F,41.5,Black
1044178,M,25.9,White
1044181,F,39.3,Black
1044182,M,38.0,White
1044183,M,,Black
1044192,F,,Asian
1044195,F,26.7,Black
1044196,M,39.5,Black
1044198,M,29.6,Black
1044200,M,,White/Hispanic
1044204,F,43.5,Black
1044205,M,31.1,Black
1044208,F,59.7,Black
1044209,M,25.3,White/Hispanic
1044211,F,51.6,Black
1044214,M,23.9,Black
1044215,F,42.7,Black
1044216,M,53.8,Black
1044217,M,49.5,Black
1044220,F,44.5,Black
1044221,F,41.4,White
1044224,F,45.2,Black
1044225,F,45.2,Black
1044227,M,34.3,Black
1044228,F,48.3,Black
1044229,F,46.0,White
1044230,M,33.0,Black
1044234,M,57.2,White
1044236,F,45.4,Black
1044241,M,45.5,Black
1044245,F,46.2,Black
1044246,M,51.6,Black
1044248,F,41.2,Black
1044249,M,41.3,White
1044250,M,31.1,Black
1044252,F,35.9,Black
1044253,M,64.0,White
1044254,F,51.6,Black
1044258,F,,Black
1044260,M,,White
1044261,M,35.4,Hispanic
1044263,F,56.9,White
1044264,M,58.1,Hispanic
1044265,M,31.5,Black
1044266,M,54.7,White
1044269,M,24.8,Black
1044270,M,42.4,White
1044271,F,59.6,Black
1044272,M,23.2,Black
1044273,M,70.6,Black
1044274,M,50.3,White
1044277,F,62.7,Black
1044281,M,48.2,White
1044283,M,40.3,White
1044284,F,33.2,Black
1044286,M,30.7,White
1044287,M,58.2,Black
1044288,M,73.1,White
1044290,F,30.1,Black
1044291,F,52.3,Black
1044292,M,60.8,Black
1044293,F,35.9,Black
1044295,M,46.7,Black
1044297,F,29.6,White/Hispanic
1044299,M,51.3,Black
1044300,M,61.7,White/Hispanic
1044301,M,29.4,Black
1044302,M,52.2,White
1044304,M,39.0,White
1044305,F,48.3,Black
1044307,M,53.8,White
1044308,F,43.2,Black
1044309,M,54.4,Black
1044310,M,30.4,White/Hispanic
1044312,M,64.1,Black
1044313,M,23.1,Black
1044314,M,28.8,White
1044315,F,26.7,Black
1044316,M,24.8,Black
1044318,M,58.0,White
1044319,F,,Black
1044321,M,48.8,Black
1044322,M,61.6,Hispanic
1044327,M,31.4,White
1044331,F,,White
1044333,M,30.5,White/Hispanic
1044335,F,31.3,Black
1044337,F,35.8,Black
1044339,M,52.0,Black
1044340,F,60.1,Black
1044341,M,58.7,Black
1044342,M,,Black
1044343,F,51.5,Black
1044344,F,56.5,Black
1044345,M,49.3,Black
1044346,M,29.2,Black
1044347,M,58.4,White
1044348,M,47.3,Black
1044349,F,53.2,White/Hispanic
1044351,F,41.4,Black
1044352,F,28.4,White
1044355,M,35.5,Black
1044356,M,27.7,Black
1044358,M,51.0,Black
1044359,M,32.2,Black
1044360,M,45.5,White
1044362,M,38.9,White
1044363,M,32.5,Black
1044364,M,35.5,Black
1044367,M,60.3,Black
1044368,M,37.6,White
1044370,F,39.3,Black
1044371,M,50.2,Black
1044373,F,42.0,White
1044374,M,32.3,White/Hispanic
1044376,F,40.3,Black
1044377,F,41.4,Black
1044378,F,33.9,Black
1044380,F,44.2,Black
1044381,M,43.2,Black
1044382,M,59.3,White
1044383,F,41.5,Black
1044385,F,42.7,Hispanic
1044386,M,46.4,White
1044388,M,34.6,Black
1044389,M,50.7,Black
1044393,M,61.9,White
1044396,M,53.0,Black
1044400,M,51.0,Hispanic
1044401,F,26.3,White
1044403,M,36.1,White/Hispanic
1044404,F,43.1,White
1044407,F,43.1,White
1044410,F,29.6,Black
1044411,M,29.0,Black
1044413,M,44.6,White
1044415,M,49.2,White
1044419,M,25.2,Black
1044421,F,40.9,Black
1044424,M,58.4,White
1044425,M,40.5,Black
1044426,F,61.1,Black
1044427,F,38.6,Black
1044431,F,39.1,White
1044432,M,45.6,White
1044435,M,,Black
1044437,M,29.9,White
1044442,M,44.5,White
1044442,M,33.8,Black
1044444,M,57.8,Black
1044448,M,40.6,White
1044449,M,37.3,Asian
1044450,M,34.4,Black
1044451,F,76.6,White
1044452,F,51.3,Black
1044454,F,36.5,Black
1044456,M,,White
1044459,F,24.5,Black
1044460,M,53.5,White
1044463,F,56.5,White/Hispanic
1044464,F,58.1,Black
1044465,F,42.7,Hispanic
1044469,F,38.1,Black
1044471,F,39.7,Black
1044472,F,35.6,Black
1044473,M,50.9,Black
1044475,M,35.2,White
1044476,M,44.2,Black
1044477,M,28.2,Black
1044482,F,50.7,White
1044485,M,24.6,Black
1044488,F,48.6,White
1044490,M,44.3,Black
1044491,F,42.9,Black
1044492,F,,Unknown
1044493,M,38.0,White
1044495,M,50.1,White/Hispanic
1044497,F,82.3,Black
1044498,F,51.5,Black
1044499,F,61.3,Black
1044501,M,36.0,Black
1044503,F,34.3,Black
1044504,M,27.9,Black
1044505,F,25.4,Black
1044509,F,50.5,Black
1044510,F,,Black
1044511,M,,Black
1044514,F,,Unknown
1044515,M,60.3,Black
1044519,M,42.9,Black
1044521,M,60.3,Black
1044524,M,65.3,Black
1044525,F,39.6,Black
1044526,F,45.6,White/Hispanic
1044529,M,58.7,Black
1044530,F,57.9,Hispanic
1044532,F,46.8,White
1044533,F,45.1,Black
1044534,M,37.1,Black
1044535,F,42.8,Black
1044538,M,61.7,White
1044539,F,51.6,Black
1044541,F,65.6,Black
1044543,M,24.7,Black
1044544,F,50.5,Black
1044547,F,60.0,Black
1044549,M,,Black
1044551,M,21.9,Black
1044559,M,56.9,Black
1044560,F,58.2,White/Hispanic
1044562,M,55.4,Hispanic
1044563,F,,Black
1044564,F,25.2,Black
1044568,M,23.0,Black
1044569,M,47.3,Black
1044570,M,43.8,Black
1044571,M,33.2,Black
1044575,M,44.8,Black
1044576,F,28.3,White
1044578,F,27.0,White
1044579,M,71.8,Black
1044582,M,,White/Hispanic
1044583,F,51.8,White
1044583,M,67.4,White
1044584,M,36.1,Black
1044586,F,53.8,Black
1044588,M,50.9,White
1044589,M,37.4,White
1044591,M,,White/Hispanic
1044593,F,54.2,White
1044596,M,37.7,Black
1044599,M,26.6,White/Hispanic
1044600,M,33.2,Black
1044601,M,34.0,Black
1044603,F,32.7,Black
1044604,M,54.9,Black
1044605,F,60.9,Black
1044606,F,35.0,Black
1044607,M,59.7,White
1044609,F,32.8,Black
1044610,M,25.9,White
1044611,M,35.6,Black
1044613,F,43.1,White
1044614,M,,Black
1044615,M,48.0,Black
1044616,F,44.6,Black
1044617,M,27.9,Black
1044618,M,41.0,White
1044619,F,,Black
1044620,M,38.3,Black
1044621,M,46.8,Black
1044622,F,54.5,Black
1044624,F,34.3,Black
1044625,F,42.2,Black
1044626,F,30.9,White
1044627,F,,Black
1044630,M,23.1,White/Hispanic
1044631,M,44.2,Black
1044632,F,54.2,White
1044633,F,42.0,White
1044634,F,28.8,Black
1044636,F,30.2,Black
1044637,M,63.6,White
1044638,F,55.1,Black
1044641,F,42.8,Black
1044648,M,52.5,Black
1044649,M,26.3,Black
1044650,M,28.1,Black
1044651,F,42.7,Hispanic
1044652,F,56.6,Black
1044654,M,61.9,White
1044655,F,39.5,Black
1044658,F,41.2,White
1044659,M,31.7,White/Hispanic
1044662,M,52.6,Black
1044663,F,50.7,Black
1044664,F,42.7,Black
1044667,F,30.4,Black
1044668,F,39.4,Black
1044670,M,37.3,Black
1044672,M,32.2,Black
1044673,F,45.9,Black
1044679,F,26.6,Black
1044680,F,24.1,Black
1044682,F,30.4,Black
1044684,F,36.4,White/Hispanic
1044686,F,,Black
1044687,M,35.5,Black
1044690,F,,Black
1044691,M,,Asian
1044694,M,56.8,Black
1044695,F,30.0,Unknown
1044699,M,37.5,Black
1044700,F,46.5,White
1044701,F,38.6,Black
1044702,F,38.3,White
1044704,F,42.7,Hispanic
1044705,F,42.7,Hispanic
1044706,F,34.0,Black
1044709,M,59.1,Black
1044711,M,46.6,Black
1044712,F,36.2,Black
1044713,F,,Black
1044714,M,31.3,Black
1044715,M,41.8,White
1044717,M,49.2,White
1044720,M,30.6,Black
1044722,F,45.2,Black
1044726,F,37.7,Black
1044727,M,63.1,White
1044728,M,25.6,Black
1044729,M,31.0,Black
1044731,F,42.8,Black
1044732,M,32.3,Black
1044733,M,32.9,Black
1044734,M,,Unknown
1044736,F,37.0,White/Hispanic
1044737,M,,Black
1044741,F,25.5,Black
1044744,F,54.1,White/Hispanic
1044744,M,33.2,White/Hispanic
1044746,F,46.4,White
1044747,F,39.7,Black
1044751,M,43.1,Black
1044752,F,48.4,White
1044756,F,48.3,Black
1044757,M,47.7,White
1044758,M,41.9,White
1044760,F,37.2,Black
1044761,F,41.5,Black
1044764,F,47.4,Black
1044766,F,44.1,Black
1044767,F,29.2,White/Hispanic
1044768,M,35.9,Asian
1044769,F,65.7,White
1044771,F,45.8,Black
1044772,M,48.8,White
1044773,F,59.0,Black
1044774,F,26.8,Black
1044775,F,26.0,Black
1044776,M,,Black
1044777,M,40.1,White/Hispanic
1044778,F,41.6,Black
1044780,M,45.9,White
1044781,F,,Unknown
1044782,F,45.0,White
1044784,F,37.4,Black
1044787,F,61.0,White
1044788,F,61.0,White
1044790,F,80.7,Black
1044791,M,41.4,White
1044793,M,51.1,White
1044795,M,66.8,Black
1044801,M,29.1,Black
1044802,F,28.6,Black
1044803,F,65.8,White/Hispanic
1044806,F,27.4,White/Hispanic
1044808,M,28.3,White/Hispanic
