,crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
0,1057642,1.0,10B,UN,600.0,Unfounded,Unsustained,0,114.0,11,100.0,S COLUMBUS DR,CHICAGO IL,2012-10-07 07:30:00,2012-10-09,2013-05-16,1393.0,not-sustained
1,1063196,1.0,10U,,600.0,No Affidavit,Unsustained,0,1423.0,17,1446.0,N TALMAN AVE,CHICAGO IL,2013-06-29 19:00:00,2013-06-29,2013-08-14,1060.0,not-sustained
3,1049623,2.0,05B,UN,600.0,Unfounded,Unsustained,0,1524.0,17,5200.0,W HURON ST,CHICAGO IL 60644,2011-10-27 16:00:00,2011-10-27,2012-07-06,275.0,not-sustained
4,1049701,2.0,06J,NS,600.0,Not Sustained,Unsustained,0,1513.0,17,5601.0,W MADISON ST,CHICAGO IL 60644,2011-10-26 00:00:00,2011-10-31,2012-12-20,740.0,not-sustained
5,1053368,3.0,09J,UN,600.0,Unfounded,Unsustained,0,1431.0,03,2135.0,N MILWAUKEE AVE,CHICAGO IL 60647,2012-04-16 00:00:00,2012-04-16,2013-10-11,31.0,not-sustained
6,1044345,4.0,05A,EX,600.0,Exonerated,Unsustained,0,414.0,17,7900.0,S MERRILL AVE,CHICAGO IL,2011-03-27 22:30:00,2011-03-29,2014-07-29,437.0,not-sustained
7,1045049,4.0,03D,,600.0,No Affidavit,Unsustained,0,621.0,17,7557.0,S EMERALD AVE,CHICAGO IL,2011-04-10 22:06:00,2011-04-29,2011-09-20,529.0,not-sustained
8,1049425,4.0,03B,,600.0,No Affidavit,Unsustained,0,624.0,17,7900.0,S ELLIS AVE,CHICAGO IL 60619,2011-10-19 15:27:00,2011-10-19,2012-02-21,874.0,not-sustained
12,1072781,6.0,04E,,600.0,No Affidavit,Unsustained,0,2432.0,17,6464.0,N CLARK ST,CHICAGO IL 60626,2014-11-25 02:00:00,2014-12-03,2015-01-20,892.0,not-sustained
13,1063487,7.0,,,,Unknown,Unknown,?,1623.0,04,5151.0,N MILWAUKEE AVE,CHICAGO IL,2013-06-21 00:01:00,2013-07-12,,1317.0,open-investigation
15,1048246,10.0,04A,UN,600.0,Unfounded,Unsustained,0,2432.0,08,6464.0,N CLARK ST,CHICAGO IL 60626,2011-09-04 19:45:00,2011-09-04,2011-11-30,761.0,not-sustained
17,1051489,11.0,10J,UN,600.0,Not Sustained,Unsustained,0,1654.0,13,519.0,W OHARE ST,CHICAGO IL 60666,2012-01-26 16:00:00,2012-01-26,2012-03-23,243.0,not-sustained
18,1057458,12.0,05P,NS,600.0,Not Sustained,Unsustained,0,2412.0,17,2032.0,W DEVON AVE,CHICAGO IL 60659,2012-09-29 00:00:00,2012-10-01,2013-12-12,778.0,not-sustained
19,1070067,12.0,03D,,600.0,No Affidavit,Unsustained,0,2432.0,17,6555.0,N GLENWOOD AVE,CHICAGO IL,2013-06-17 23:14:00,2014-06-30,2014-09-05,1455.0,not-sustained
20,1068427,12.0,03G,,600.0,No Affidavit,Unsustained,0,2412.0,17,2000.0,W DEVON AVE,CHICAGO IL 60645,2014-04-04 21:00:00,2014-04-06,2014-05-21,833.0,not-sustained
21,1054707,13.0,04D,,600.0,No Affidavit,Unsustained,0,1134.0,04,3151.0,W HARRISON ST,CHICAGO IL 60612,2012-02-22 14:40:00,2012-06-12,2012-11-21,704.0,not-sustained
22,1052932,13.0,05P,,,Unknown,Unknown,?,1125.0,17,2712.0,W JACKSON BLVD,CHICAGO IL 60612,2012-03-28 22:20:00,2012-03-28,2014-01-23,300.0,unknown
23,1054598,13.0,,,,Unknown,Unknown,?,1135.0,17,659.0,S FRANCISCO AVE,CHICAGO IL 60612,2012-06-08 00:00:00,2012-06-08,,297.0,open-investigation
24,1055548,13.0,05A,NS,600.0,Not Sustained,Unsustained,0,1122.0,17,3906.0,W JACKSON BLVD,CHICAGO IL 60624,2012-07-15 15:10:00,2012-07-15,2014-08-19,291.0,not-sustained
25,1065466,13.0,05A,NS,600.0,Not Sustained,Unsustained,0,1134.0,17,630.0,S SACRAMENTO BLVD,CHICAGO IL,2013-05-03 17:59:00,2013-10-10,2014-10-24,926.0,not-sustained
