crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
1057642,1,10B,UN,600,Unfounded,Unsustained,0,0114,11,100,S COLUMBUS DR,CHICAGO IL,2012-10-07 07:30:00,2012-10-09,2013-05-16,1393,not-sustained
1063196,1,10U,,600,No Affidavit,Unsustained,0,1423,17,1446,N TALMAN AVE,CHICAGO IL,2013-06-29 19:00:00,2013-06-29,2013-08-14,1060,not-sustained
1047453,2,10V,NS,600,Not Sustained,Unsustained,0,1131,19,,,,2011-06-24 17:00:00,2011-08-04,2012-07-30,583,not-sustained
1049623,2,05B,UN,600,Unfounded,Unsustained,0,1524,17,5200,W HURON ST,CHICAGO IL 60644,2011-10-27 16:00:00,2011-10-27,2012-07-06,275,not-sustained
1049701,2,06J,NS,600,Not Sustained,Unsustained,0,1513,17,5601,W MADISON ST,CHICAGO IL 60644,2011-10-26 00:00:00,2011-10-31,2012-12-20,740,not-sustained
1053368,3,09J,UN,600,Unfounded,Unsustained,0,1431,03,2135,N MILWAUKEE AVE,CHICAGO IL 60647,2012-04-16 00:00:00,2012-04-16,2013-10-11,31,not-sustained
1044345,4,05A,EX,600,Exonerated,Unsustained,0,0414,17,7900,S MERRILL AVE,CHICAGO IL,2011-03-27 22:30:00,2011-03-29,2014-07-29,437,not-sustained
1045049,4,03D,,600,No Affidavit,Unsustained,0,0621,17,7557,S EMERALD AVE,CHICAGO IL,2011-04-10 22:06:00,2011-04-29,2011-09-20,529,not-sustained
1049425,4,03B,,600,No Affidavit,Unsustained,0,0624,17,7900,S ELLIS AVE,CHICAGO IL 60619,2011-10-19 15:27:00,2011-10-19,2012-02-21,874,not-sustained
1054207,4,,,,Unknown,Unknown,?,0812,19,,,,2012-05-22 17:30:00,2012-05-22,,499,open-investigation
1055372,4,10U,,,Unknown,Unknown,?,0633,19,,,,2012-07-08 23:45:00,2012-07-09,2012-09-05,1024,unknown
1057173,4,,,,Unknown,Unknown,?,,XX,,,CHICAGO IL,2012-09-19 00:00:00,2012-09-19,,118,open-investigation
1072781,6,04E,,600,No Affidavit,Unsustained,0,2432,17,6464,N CLARK ST,CHICAGO IL 60626,2014-11-25 02:00:00,2014-12-03,2015-01-20,892,not-sustained
1063487,7,,,,Unknown,Unknown,?,1623,04,5151,N MILWAUKEE AVE,CHICAGO IL,2013-06-21 00:01:00,2013-07-12,,1317,open-investigation
1055105,8,01A,,,Unknown,Unknown,?,1124,19,,,,2012-06-27 00:00:00,2012-06-27,2012-10-17,309,unknown
1048246,10,04A,UN,600,Unfounded,Unsustained,0,2432,08,6464,N CLARK ST,CHICAGO IL 60626,2011-09-04 19:45:00,2011-09-04,2011-11-30,761,not-sustained
1049218,10,10U,,600,No Affidavit,Unsustained,0,2432,19,,,,2011-10-11 16:30:00,2011-10-11,2012-01-04,1140,not-sustained
1051489,11,10J,UN,600,Not Sustained,Unsustained,0,1654,13,519,W OHARE ST,CHICAGO IL 60666,2012-01-26 16:00:00,2012-01-26,2012-03-23,243,not-sustained
1057458,12,05P,NS,600,Not Sustained,Unsustained,0,2412,17,2032,W DEVON AVE,CHICAGO IL 60659,2012-09-29 00:00:00,2012-10-01,2013-12-12,778,not-sustained
1070067,12,03D,,600,No Affidavit,Unsustained,0,2432,17,6555,N GLENWOOD AVE,CHICAGO IL,2013-06-17 23:14:00,2014-06-30,2014-09-05,1455,not-sustained
1068427,12,03G,,600,No Affidavit,Unsustained,0,2412,17,2000,W DEVON AVE,CHICAGO IL 60645,2014-04-04 21:00:00,2014-04-06,2014-05-21,833,not-sustained
1054707,13,04D,,600,No Affidavit,Unsustained,0,1134,04,3151,W HARRISON ST,CHICAGO IL 60612,2012-02-22 14:40:00,2012-06-12,2012-11-21,704,not-sustained
1052932,13,05P,,,Unknown,Unknown,?,1125,17,2712,W JACKSON BLVD,CHICAGO IL 60612,2012-03-28 22:20:00,2012-03-28,2014-01-23,300,unknown
1054598,13,,,,Unknown,Unknown,?,1135,17,659,S FRANCISCO AVE,CHICAGO IL 60612,2012-06-08 00:00:00,2012-06-08,,297,open-investigation
1055548,13,05A,NS,600,Not Sustained,Unsustained,0,1122,17,3906,W JACKSON BLVD,CHICAGO IL 60624,2012-07-15 15:10:00,2012-07-15,2014-08-19,291,not-sustained
1065466,13,05A,NS,600,Not Sustained,Unsustained,0,1134,17,630,S SACRAMENTO BLVD,CHICAGO IL,2013-05-03 17:59:00,2013-10-10,2014-10-24,926,not-sustained
1066526,13,,,,Unknown,Unknown,?,1135,17,1123,S FRANCISCO AVE,CHICAGO IL 60612,2013-04-10 21:43:00,2013-12-10,,297,open-investigation
1068731,13,,,,Unknown,Unknown,?,1112,19,,,,2014-04-22 16:00:00,2014-04-22,,297,open-investigation
1062825,14,03D,,,Unknown,Unknown,?,1722,17,4021,W CULLOM AVE,CHICAGO IL,2012-01-01 22:35:00,2013-06-12,2013-07-09,986,unknown
1053955,14,03C,,600,No Affidavit,Unsustained,0,1731,19,,,,2012-05-11 12:51:00,2012-05-11,2012-07-18,1037,not-sustained
1044026,15,10J,,600,No Affidavit,Unsustained,0,1122,17,400,N AVERS AVE,CHICAGO IL 60624,2011-03-17 00:00:00,2011-03-17,2011-05-19,173,not-sustained
1055832,16,10U,,600,No Affidavit,Unsustained,0,1621,17,6333,N LA CROSSE AVE,CHICAGO IL,2012-07-25 05:30:00,2012-07-25,2012-10-03,239,not-sustained
1058239,16,10U,NS,600,Not Sustained,Unsustained,0,1632,19,,,,2012-11-05 01:31:00,2012-11-07,2013-02-14,967,not-sustained
1044863,17,03C,,600,No Affidavit,Unsustained,0,0614,19,,,,2011-04-19 20:30:00,2011-04-21,2011-07-11,833,not-sustained
1045770,17,10U,EX,600,Exonerated,Unsustained,0,0621,17,8044,S GREEN ST,CHICAGO IL 60620,2011-05-19 16:00:00,2011-05-31,2011-09-15,143,not-sustained
1046124,17,03C,NS,600,Not Sustained,Unsustained,0,0324,19,,,,2011-06-10 00:00:00,2011-06-13,2012-06-20,83,not-sustained
1044310,18,03G,,600,No Affidavit,Unsustained,0,1013,19,,,,2011-03-27 00:00:00,2011-03-28,2011-06-13,568,not-sustained
1045631,18,03G,,600,No Affidavit,Unsustained,0,1012,17,4009,W CULLERTON ST,CHICAGO IL,2011-04-16 05:30:00,2011-05-24,2011-07-29,1403,not-sustained
1059741,18,03D,NS,600,Not Sustained,Unsustained,0,1011,19,,,,2012-03-08 00:00:00,2013-01-25,2013-11-20,583,not-sustained
1054667,18,05A,,600,No Affidavit,Unsustained,0,1024,17,2359,S HOMAN AVE,CHICAGO IL 60623,2012-06-10 21:00:00,2012-06-11,2012-10-26,309,not-sustained
1055517,18,03C,,600,No Affidavit,Unsustained,0,1012,19,,,,2012-07-13 17:00:00,2012-07-13,2012-10-12,963,not-sustained
1058968,18,05P,,600,No Affidavit,Unsustained,0,1022,19,,,,2012-11-28 00:00:00,2012-12-12,2013-04-01,1456,not-sustained
1067320,19,04E,,600,No Affidavit,Unsustained,0,1422,04,3350,W EVERGREEN AVE,CHICAGO IL 60651,2014-01-03 12:00:00,2014-02-04,2014-04-04,993,not-sustained
1060811,20,,,,Unknown,Unknown,?,3100,03,6000,S HARLEM,SUMMIT IL,2013-03-18 00:00:00,2013-03-18,,451,open-investigation
1058034,21,03G,,600,No Affidavit,Unsustained,0,1623,19,,,,2011-05-07 00:00:00,2012-10-26,2013-03-07,9,not-sustained
1051103,21,05M,NS,600,Not Sustained,Unsustained,0,1722,04,4650,N PULASKI RD,CHICAGO IL 60630,2012-01-06 00:00:00,2012-01-06,2012-07-05,,not-sustained
1056550,21,03G,,600,No Affidavit,Unsustained,0,1712,17,4410,W LAWRENCE AVE,CHICAGO IL 60630,2012-08-10 09:28:00,2012-08-24,2012-11-01,937,not-sustained
1046700,22,10U,,600,No Affidavit,Unsustained,0,2432,19,,,,2011-07-04 21:00:00,2011-07-05,2011-09-12,321,not-sustained
1049218,22,10U,,600,No Affidavit,Unsustained,0,2432,19,,,,2011-10-11 16:30:00,2011-10-11,2012-01-04,1140,not-sustained
1058955,22,10U,,600,No Affidavit,Unsustained,0,2433,19,,,,2012-12-09 00:00:00,2012-12-11,2013-02-08,69,not-sustained
1066897,22,10U,,600,No Affidavit,Unsustained,0,2432,17,6464,N CLARK ST,CHICAGO IL,2014-01-04 17:16:00,2014-01-06,2014-03-13,69,not-sustained
1070761,22,10U,,600,No Affidavit,Unsustained,0,2424,19,,,,2014-08-03 18:00:00,2014-08-03,2014-10-07,1278,not-sustained
1072068,22,10U,,600,No Affidavit,Unsustained,0,2413,03,2540,W PETERSON AVE,CHICAGO IL 60659,2014-10-09 15:00:00,2014-10-17,2014-12-02,537,not-sustained
1047164,23,04E,,600,No Affidavit,Unsustained,0,0132,04,1718,S STATE ST,CHICAGO IL,2011-07-21 15:00:00,2011-07-22,2011-10-03,511,not-sustained
1066021,23,05A,UN,600,Unfounded,Unsustained,0,1822,04,1160,N LARRABEE ST,CHICAGO IL 60610,2013-11-11 10:35:00,2013-11-11,2015-02-09,645,not-sustained
1046078,24,10Z,UN,600,Unfounded,Unsustained,0,1924,17,3216,N SHEFFIELD AVE,CHICAGO IL,2011-04-02 17:00:00,2011-06-10,2011-09-22,683,not-sustained
1062818,24,05M,,600,No Affidavit,Unsustained,0,2024,17,5200,N LAKE SHORE DR NB,CHICAGO IL 60640,2013-06-11 20:50:00,2013-06-11,2013-08-28,309,not-sustained
1063508,24,01C,,,Unknown,Unknown,?,2024,17,5100,N SIMONDS DR,CHICAGO IL 60640,2013-07-11 21:07:00,2013-07-23,2014-10-28,960,unknown
1063997,24,05B,,600,No Affidavit,Unsustained,0,2032,17,5000,N DAMEN AVE,CHICAGO IL 60625,2013-08-02 22:40:00,2013-08-03,2013-11-12,1170,not-sustained
1048041,25,03D,NS,600,Sustained,Reprimand,0,0614,17,8100,S ASHLAND AVE,CHICAGO IL 60620,2011-08-26 19:30:00,2011-08-27,2014-11-10,1467,disciplined
1052356,25,10J,,600,No Affidavit,Unsustained,0,0323,17,100,E 75TH ST,CHICAGO IL,2012-03-06 14:00:00,2012-03-07,2012-07-09,1080,not-sustained
1053976,25,05A,,600,No Affidavit,Unsustained,0,0613,17,8201,S RACINE AVE,CHICAGO IL 60620,2012-05-11 00:00:00,2012-05-12,2012-07-26,1298,not-sustained
1056884,25,10U,,600,No Affidavit,Unsustained,0,0621,04,7808,S HALSTED ST,CHICAGO IL,2012-09-06 19:30:00,2012-09-06,2012-10-19,1014,not-sustained
1061230,25,10U,,,Unknown,Unknown,?,0621,04,7808,S HALSTED ST,CHICAGO IL 60620,2013-04-07 00:00:00,2013-04-07,2013-06-28,891,unknown
1062439,25,10P,SU,003,Sustained,3,3,0621,04,7808,S HALSTED ST,CHICAGO IL,2013-05-23 12:00:00,2013-05-23,2015-02-04,1197,disciplined
1060977,27,05A,UN,600,Unfounded,Unsustained,0,1921,17,2301,W ROSCOE ST,CHICAGO IL 60618,2013-03-26 00:00:00,2013-03-26,2013-10-09,562,not-sustained
1045095,29,03D,UN,600,Unfounded,Unsustained,0,0421,14,7700,S BURNHAM AVE,CHICAGO IL 60649,2011-04-25 00:00:00,2011-05-02,2014-08-20,1149,not-sustained
1045140,29,10T,NS,600,Not Sustained,Unsustained,0,0412,17,8300,S STONY ISLAND AVE,CHICAGO IL 60617,2011-04-26 21:42:00,2011-05-04,2014-01-29,12,not-sustained
1045982,29,10U,NS,600,Not Sustained,Unsustained,0,0422,19,,,,2011-06-07 00:00:00,2011-06-08,2012-04-03,940,not-sustained
1047025,29,10U,,600,No Affidavit,Unsustained,0,0412,17,1215,E 83RD ST,CHICAGO IL,2011-07-17 17:00:00,2011-07-18,2011-10-05,720,not-sustained
1045139,30,05B,NS,600,Not Sustained,Unsustained,0,0422,17,8100,S ESSEX AVE,CHICAGO IL,2011-05-04 07:49:00,2011-05-04,2013-03-26,1149,not-sustained
1054798,31,10D,,600,No Affidavit,Unsustained,0,2232,17,10605,S SANGAMON ST,CHICAGO IL 60643,2012-06-15 00:00:00,2012-06-15,2012-08-15,688,not-sustained
1049649,32,10U,UN,600,Unfounded,Unsustained,0,0234,03,1352,E 53RD ST,CHICAGO IL 60615,2011-10-28 16:25:00,2011-10-28,2012-05-31,680,not-sustained
1055200,32,05A,NS,600,Not Sustained,Unsustained,0,0133,17,2731,S DEARBORN ST,CHICAGO IL 60616,2012-06-30 23:30:00,2012-07-02,2014-05-08,24,not-sustained
1045556,33,05A,,600,No Affidavit,Unsustained,0,0513,17,10758,S INDIANA AVE,CHICAGO IL 60628,2011-05-17 00:00:00,2011-05-20,2011-08-22,760,not-sustained
