cat_id,category,allegation_name,physical
01A,Verbal Abuse,Use Of Profanity,FALSE
01B,Verbal Abuse,"Racial / Ethnic, Etc.",FALSE
01C,Verbal Abuse,Sexual Orientation,FALSE
02A,Alcohol Abuse,Intoxicated On Duty,FALSE
02B,Alcohol Abuse,Intoxicated Off Duty,FALSE
02D,Alcohol Abuse,D.U.I. - Off Duty,FALSE
02E,Alcohol Abuse,Possession / Drinking Alcohol - On Duty,FALSE
02G,Alcohol Abuse,Miscellaneous,FALSE
03A,First Amendment and Illegal Arrest,First Amendment,FALSE
03B,First Amendment and Illegal Arrest,Improper Search Of Person,FALSE
03C,First Amendment and Illegal Arrest,Search Of Premise Without Warrant,FALSE
03D,First Amendment and Illegal Arrest,Illegal Arrest / False Arrest,FALSE
03E,First Amendment and Illegal Arrest,Injury / Death (Under Color Of Law),TRUE
03F,First Amendment and Illegal Arrest,Failure To Ensure Civil Rights,FALSE
03G,First Amendment and Illegal Arrest,Improper Search Of Vehicle,FALSE
04A,Search-Related,Bonding/Booking/Processing,FALSE
04B,Search-Related,"Arrest, Improper Procedures",FALSE
04C,Search-Related,Excessive Detention - After Arrest,FALSE
04D,Search-Related,Search - Person / Property,FALSE
04E,Search-Related,Prisoners Property,FALSE
04F,Search-Related,Escape,FALSE
04G,Search-Related,Telephone / Attorney / Relative Privileges,FALSE
04H,Search-Related,Proper Care - Injury / Death,TRUE
04J,Search-Related,Miscellaneous,FALSE
05A,Arrest/Lock-up Procedures,Excessive Force / On Duty - Injury,TRUE
05B,Arrest/Lock-up Procedures,Excessive Force / On Duty - No Injury,TRUE
05C,Arrest/Lock-up Procedures,Excessive Force / Off Duty - Injury,TRUE
05D,Arrest/Lock-up Procedures,Excessive Force / Off Duty - No Injury,TRUE
05E,Arrest/Lock-up Procedures,Excessive Force - Use Of Firearm / On Duty - Injury,TRUE
05F,Arrest/Lock-up Procedures,Excessive Force - Use Of Firearm / On Duty - No Injury,TRUE
05G,Arrest/Lock-up Procedures,Excessive Force - Use Of Firearm / Off Duty - Injury,TRUE
05H,Arrest/Lock-up Procedures,Excessive Force - Use Of Firearm / Off Duty - No Injury,TRUE
05J,Arrest/Lock-up Procedures,"U Converted To C.R. (Records Keeping Only, Initial)",FALSE
05K,Arrest/Lock-up Procedures,Domestic Altercation - Physical Abuse,TRUE
05L,Arrest/Lock-up Procedures,Domestic Incident - Not Physical,FALSE
05M,Arrest/Lock-up Procedures,Unnecessary Physical Contact / On Duty - No Injury,TRUE
05N,Arrest/Lock-up Procedures,Unnecessary Physical Contact / Off Duty - No Injury,TRUE
05P,Arrest/Lock-up Procedures,Unnecessary Display Of Weapon / On Duty,FALSE
05Q,Arrest/Lock-up Procedures,Unnecessary Display Of Weapon / Off Duty,FALSE
05T,Arrest/Lock-up Procedures,Excessive Force - Taser - Use Of,TRUE
06A,Bribery / Official Corruption,Solicit / Accept Bribe (Non-Traffic),FALSE
06B,Bribery / Official Corruption,Solicit / Accept Bribe (Traffic),FALSE
06C,Bribery / Official Corruption,Extortion,FALSE
06E,Bribery / Official Corruption,Gratuity,FALSE
06F,Bribery / Official Corruption,Recommend Professional Service,FALSE
06G,Bribery / Official Corruption,Use Of Official Position,FALSE
06H,Bribery / Official Corruption,An Act To Circumvent Criminal Prosecution,FALSE
06J,Bribery / Official Corruption,Gang Affiliation,FALSE
07A,Traffic,Misconduct During Issuance Of Citation,FALSE
07B,Traffic,Improper Processing / Reporting / Procedures,FALSE
07C,Traffic,Violation (Other Than D.U.I.) - On Duty,FALSE
07D,Traffic,Parking Complaints,FALSE
07E,Traffic,Fail To Enforce Traffic Regulations,FALSE
07F,Traffic,Miscellaneous,FALSE
07T,Traffic,Preventable Traffic Accident,FALSE
08B,Criminal Misconduct,"Assault / Battery, Etc.",TRUE
08C,Criminal Misconduct,Criminal Sexual Assault,TRUE
08F,Criminal Misconduct,Theft,FALSE
08G,Criminal Misconduct,Shoplifting,FALSE
08H,Criminal Misconduct,Robbery,TRUE
08J,Criminal Misconduct,"Drugs / Controlled Substance, Possession Or Sale",FALSE
08K,Criminal Misconduct,Damage / Trespassing To Property,FALSE
08M,Criminal Misconduct,Other Felony,FALSE
08N,Criminal Misconduct,Conspiracy To Commit A Crime,FALSE
09A,Conduct Unbecoming (Off-duty),Altercation / Disturbance - Other,TRUE
09B,Conduct Unbecoming (Off-duty),Altercation / Disturbance - Neighbor,TRUE
09C,Conduct Unbecoming (Off-duty),Altercation / Disturbance - Traffic,TRUE
09D,Conduct Unbecoming (Off-duty),Traffic Violations (Other Than D.U.I.),FALSE
09E,Conduct Unbecoming (Off-duty),Misdemeanor Arrest,FALSE
09F,Conduct Unbecoming (Off-duty),Sexual Misconduct,TRUE
09G,Conduct Unbecoming (Off-duty),Abuse Of Authority,FALSE
09H,Conduct Unbecoming (Off-duty),Judicial Process/Directive - Contempt,FALSE
09J,Conduct Unbecoming (Off-duty),Association With Felon,FALSE
09K,Conduct Unbecoming (Off-duty),Indebtedness To City,FALSE
09L,Conduct Unbecoming (Off-duty),Drivers License - Revoked / Suspended,FALSE
10A,Operation/Personnel Violations,Absent Without Permission,FALSE
10B,Operation/Personnel Violations,Seat Belts,FALSE
10C,Operation/Personnel Violations,Compensatory Time,FALSE
10D,Operation/Personnel Violations,Slow / No Response,FALSE
10E,Operation/Personnel Violations,Secondary/Special Employment,FALSE
10F,Operation/Personnel Violations,Court Attendance Irregularities,FALSE
10G,Operation/Personnel Violations,,FALSE
10H,Operation/Personnel Violations,"Leaving Assignment (District, Beat, Sector, Court)",FALSE
10J,Operation/Personnel Violations,Neglect Of Duty,FALSE
10K,Operation/Personnel Violations,Late - Roll Call / Assignment / Court,FALSE
10L,Operation/Personnel Violations,Weapon / Ammunition,FALSE
10M,Operation/Personnel Violations,Insubordination,FALSE
10N,Operation/Personnel Violations,Lunch / Personal Violations,FALSE
10P,Operation/Personnel Violations,Misuse Of Department Equipment / Supplies,FALSE
10Q,Operation/Personnel Violations,Misuse Of Department Records,FALSE
10R,Operation/Personnel Violations,Residency,FALSE
10S,Operation/Personnel Violations,Eeo Investigations,FALSE
10T,Operation/Personnel Violations,Reports,FALSE
10U,Operation/Personnel Violations,Inadequate / Failure To Provide Service,FALSE
10V,Operation/Personnel Violations,Inventory Procedures,FALSE
10W,Operation/Personnel Violations,Traffic Pursuit,FALSE
10X,Operation/Personnel Violations,Vehicle Licensing - State,FALSE
10Z,Operation/Personnel Violations,Miscellaneous,FALSE
12A,Supervisory Responsibilities,Initiate Proper Action,FALSE
12B,Supervisory Responsibilities,Properly Direct Subordinate,FALSE
12C,Supervisory Responsibilities,Properly Review / Inspect Subordinate,FALSE
12D,Supervisory Responsibilities,Fail To Obtain A Complaint Register Number,FALSE
12E,Supervisory Responsibilities,Conduct An Improper / Inadequate Investigation,FALSE
12F,Supervisory Responsibilities,Failure To Ensure - Civil Rights,FALSE
14A,Supervisory Responsibilities,State Civil Suit,FALSE
14B,Supervisory Responsibilities,Federal Civil Suit,FALSE
15A,Drug/Substance Abuse,Use / Abuse Drugs / Controlled Substance - On Duty,FALSE
15B,Drug/Substance Abuse,Use / Abuse Drugs / Controlled Substance - Off Duty,FALSE
15C,Drug/Substance Abuse,"D.U.I., Drugs / Controlled Substance - On Duty",FALSE
15D,Drug/Substance Abuse,"D.U.I., Drugs / Controlled Substance - Off Duty",FALSE
15H,Drug/Substance Abuse,Positive Drug Screen - Other Physical Exam,FALSE
15K,Drug/Substance Abuse,Just Cause,FALSE
15E,Drug/Substance Abuse,,FALSE
15J,Drug/Substance Abuse,,FALSE
