,crid,officer_id,Findings Sustained
0,1043965,8650,1.0
1,1043966,0,0.0
2,1043968,0,0.0
3,1043975,3781,0.0
4,1043975,8434,0.0
5,1043977,7226,0.0
6,1043981,187,0.0
7,1043981,3995,0.0
8,1043981,5117,0.0
9,1043985,0,0.0
10,1043988,3388,0.0
11,1043988,7800,0.0
12,1043994,0,0.0
13,1043995,6489,0.0
14,1043997,1377,0.0
15,1044003,0,0.0
16,1044005,3456,0.0
17,1044005,8251,0.0
18,1044006,1143,1.0
19,1044008,1497,0.0
20,1044008,5767,0.0
21,1044008,6768,0.0
22,1044011,5950,0.0
23,1044013,1510,0.0
24,1044013,8398,0.0
25,1044016,4339,0.0
26,1044016,6516,0.0
27,1044017,2299,0.0
28,1044017,2648,0.0
29,1044018,6356,0.0
30,1044020,0,0.0
31,1044024,0,0.0
32,1044026,15,0.0
33,1044026,4989,0.0
34,1044026,6644,0.0
35,1044027,0,0.0
36,1044029,6116,0.0
37,1044030,3302,0.0
38,1044030,6824,0.0
39,1044032,392,0.0
40,1044032,8503,0.0
41,1044034,3490,1.0
42,1044037,0,0.0
43,1044040,2147,0.0
44,1044040,5039,0.0
45,1044041,0,0.0
46,1044045,2157,0.0
47,1044047,0,0.0
48,1044053,1203,0.0
49,1044053,1472,0.0
50,1044060,7146,0.0
51,1044063,0,0.0
52,1044067,0,0.0
53,1044068,0,0.0
54,1044071,4961,0.0
55,1044072,1538,0.0
56,1044072,1654,0.0
57,1044072,3732,0.0
58,1044072,7581,0.0
59,1044072,7857,0.0
60,1044079,0,0.0
61,1044080,0,0.0
62,1044086,4161,1.0
63,1044087,3969,0.0
64,1044088,8195,0.0
65,1044089,0,0.0
66,1044090,838,0.0
67,1044090,5372,0.0
68,1044092,4961,0.0
69,1044092,5927,0.0
70,1044092,8562,0.0
71,1044093,0,0.0
72,1044094,2492,0.0
73,1044100,0,0.0
74,1044102,1820,0.0
75,1044102,7076,0.0
76,1044105,7666,0.0
77,1044106,8353,0.0
78,1044119,0,0.0
79,1044120,8776,0.0
80,1044120,8897,0.0
81,1044125,369,0.0
82,1044125,6683,0.0
83,1044125,7651,0.0
84,1044126,2756,0.0
85,1044126,7962,0.0
86,1044126,8297,0.0
87,1044137,0,0.0
88,1044141,1777,1.0
89,1044141,2863,1.0
90,1044141,5108,1.0
91,1044147,2509,0.0
92,1044148,0,0.0
