officer_id,crid
8469,1043946
9201,1043946
9428,1043946
859,1043959
9124,1043959
3360,1043964
9006,1043964
9061,1043964
9181,1043964
8976,1043965
9374,1043965
9702,1043965
478,1044029
893,1044029
4697,1044029
5437,1044029
8944,1044029
9406,1044029
305,1044077
1191,1044077
1459,1044077
3142,1044077
3797,1044077
7208,1044077
8841,1044077
9023,1044077
9152,1044077
9476,1044077
8445,1044088
9571,1044088
1191,1044106
2209,1044106
8841,1044106
9412,1044106
9476,1044106
889,1044125
8594,1044125
8945,1044125
9180,1044125
825,1044141
5384,1044141
2129,1044183
4260,1044183
8986,1044220
9233,1044220
9543,1044220
4851,1044246
3388,1044266
5098,1044266
1458,1044269
2313,1044269
2973,1044269
6837,1044269
7582,1044269
9235,1044269
9422,1044271
2371,1044274
3024,1044274
3582,1044274
4355,1044274
4714,1044274
4824,1044274
5210,1044274
7511,1044274
3568,1044281
8684,1044281
5960,1044304
4113,1044305
814,1044321
1009,1044321
2482,1044321
5653,1044321
9573,1044321
1469,1044343
3397,1044343
9679,1044358
4288,1044382
9661,1044393
9536,1044407
5366,1044415
80,1044432
3885,1044432
4676,1044432
8168,1044432
9367,1044432
883,1044448
5208,1044459
3489,1044464
6779,1044464
4113,1044475
4658,1044475
5333,1044475
9293,1044475
6131,1044514
6394,1044514
7516,1044514
9450,1044514
2608,1044589
8995,1044589
9158,1044589
9436,1044589
9375,1044654
9008,1044655
9020,1044655
9115,1044655
9247,1044658
2368,1044673
9040,1044673
728,1044690
4178,1044699
304,1044747
1744,1044775
2511,1044775
4513,1044775
4512,1044780
5865,1044780
9273,1044806
9077,1044843
2874,1044852
5118,1044855
66,1044875
1225,1044875
3783,1044875
5197,1044875
7882,1044875
189,1044898
1232,1044898
3395,1044898
4207,1044898
638,1044925
5578,1044925
9239,1044925
9689,1044925
9131,1044936
8404,1044945
637,1044960
9463,1044987
9682,1045000
9388,1045016
277,1045018
9470,1045018
3383,1045024
1548,1045028
2017,1045028
6865,1045028
7753,1045028
8928,1045028
0,1045029
3560,1045099
9414,1045099
5455,1045105
8142,1045105
9454,1045111
9103,1045140
1614,1045147
4869,1045147
680,1045148
6617,1045203
7393,1045224
2435,1045256
5154,1045277
6154,1045277
8974,1045277
9336,1045277
4204,1045293
6162,1045293
401,1045296
9112,1045298
8682,1045305
2115,1045316
7768,1045316
7281,1045318
7627,1045318
811,1045320
2483,1045320
6074,1045320
9255,1045330
0,1045331
1237,1045334
2066,1045334
6307,1045334
6675,1045334
7914,1045334
3179,1045335
605,1045376
950,1045376
9074,1045376
9191,1045376
