centroid,beat_num,district,distance_value,distance,start_address,start_lat,start_lng,end_address,end_lat,end_lng,time,time_text,date
"(41.9696422688, -87.7074209475)",1713,17,18761,11.7 mi,"4845 N Troy St, Chicago, IL 60625, USA",41.969644,-87.7072778,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1623,27 mins,02/25/2016
"(41.9696422688, -87.7074209475)",1713,17,10572,6.6 mi,"4845 N Troy St, Chicago, IL 60625, USA",41.969644,-87.7072778,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1259,21 mins,02/25/2016
"(41.9638797846, -87.816795137)",3100,31,29029,18.0 mi,"4608 N Oriole Ave, Norridge, IL 60706, USA",41.963878,-87.81639469999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1850,31 mins,02/25/2016
"(41.9638797846, -87.816795137)",3100,31,20840,12.9 mi,"4608 N Oriole Ave, Norridge, IL 60706, USA",41.963878,-87.81639469999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1486,25 mins,02/25/2016
"(41.9656536224, -87.6486625512)",1651,16,17881,11.1 mi,"4602 N Marine Dr, Chicago, IL 60640, USA",41.9656565,-87.64864709999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1154,19 mins,02/25/2016
"(41.9656536224, -87.6486625512)",1651,16,11608,7.2 mi,"4602 N Marine Dr, Chicago, IL 60640, USA",41.9656565,-87.64864709999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1208,20 mins,02/25/2016
"(41.9590500686, -87.6505281795)",1914,19,18221,11.3 mi,"803-817 W Hutchinson St, Chicago, IL 60613, USA",41.9592832,-87.65053209999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1305,22 mins,02/25/2016
"(41.9590500686, -87.6505281795)",1914,19,11947,7.4 mi,"803-817 W Hutchinson St, Chicago, IL 60613, USA",41.9592832,-87.65053209999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1359,23 mins,02/25/2016
"(41.9651337647, -87.6620144137)",1915,19,18968,11.8 mi,"1256-1258 W Wilson Ave, Chicago, IL 60640, USA",41.9653264,-87.66201819999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1366,23 mins,02/25/2016
"(41.9651337647, -87.6620144137)",1915,19,8365,5.2 mi,"1256-1258 W Wilson Ave, Chicago, IL 60640, USA",41.9653264,-87.66201819999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1341,22 mins,02/25/2016
