centroid,beat_num,district,distance_value,distance,start_address,start_lat,start_lng,end_address,end_lat,end_lng,time,time_text,date
"(41.9696422688, -87.7074209475)",1713,17,21660,13.5 mi,"4845 N Troy St, Chicago, IL 60625, USA",41.969644,-87.7072778,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,3296,55 mins,02/25/2016
"(41.9696422688, -87.7074209475)",1713,17,11577,7.2 mi,"4845 N Troy St, Chicago, IL 60625, USA",41.969644,-87.7072778,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2658,44 mins,02/25/2016
"(41.9638797846, -87.816795137)",3100,31,27368,17.0 mi,"4608 N Oriole Ave, Norridge, IL 60706, USA",41.9638758,-87.81706249999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,4377,1 hour 13 mins,02/25/2016
"(41.9638797846, -87.816795137)",3100,31,17688,11.0 mi,"4608 N Oriole Ave, Norridge, IL 60706, USA",41.9638758,-87.81706249999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3505,58 mins,02/25/2016
"(41.9656536224, -87.6486625512)",1651,16,17666,11.0 mi,"4602 N Marine Dr, Chicago, IL 60640, USA",41.9656565,-87.64864709999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2727,45 mins,02/25/2016
"(41.9656536224, -87.6486625512)",1651,16,9517,5.9 mi,"4602 N Marine Dr, Chicago, IL 60640, USA",41.9656565,-87.64864709999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2904,48 mins,02/25/2016
"(41.9590500686, -87.6505281795)",1914,19,16430,10.2 mi,"803-817 W Hutchinson St, Chicago, IL 60613, USA",41.9592832,-87.65053209999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2672,45 mins,02/25/2016
"(41.9590500686, -87.6505281795)",1914,19,8756,5.4 mi,"803-817 W Hutchinson St, Chicago, IL 60613, USA",41.9592832,-87.65053209999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2388,40 mins,02/25/2016
"(41.9651337647, -87.6620144137)",1915,19,17217,10.7 mi,"1256-1258 W Wilson Ave, Chicago, IL 60640, USA",41.9653264,-87.66201819999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2397,40 mins,02/25/2016
"(41.9651337647, -87.6620144137)",1915,19,9646,6.0 mi,"1256-1258 W Wilson Ave, Chicago, IL 60640, USA",41.9653264,-87.66201819999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2541,42 mins,02/25/2016
"(41.9611371089, -87.672169025)",1913,19,18170,11.3 mi,"4349 N Hermitage Ave, Chicago, IL 60613, USA",41.9611331,-87.6723996,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2679,45 mins,02/25/2016
"(41.9611371089, -87.672169025)",1913,19,7608,4.7 mi,"4349 N Hermitage Ave, Chicago, IL 60613, USA",41.9611331,-87.6723996,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2224,37 mins,02/25/2016
