AB,"{'n_estimators': 1, 'algorithm': 'SAMME'}",3,[ 0.34695903  0.48747297  0.49508386  0.49568627  1.        ],[ 1.          0.99687906  0.66788036  0.32873862  0.        ],[ 0.26894142  0.48063999  0.4847195   0.49193921],0.5
AB,"{'n_estimators': 1, 'algorithm': 'SAMME.R'}",3,[ 0.34695903  0.48747297  0.49508386  0.49568627  1.        ],[ 1.          0.99687906  0.66788036  0.32873862  0.        ],[  2.22044605e-16   4.61260610e-01   4.69429474e-01   4.83877015e-01],0.5
AB,"{'n_estimators': 10, 'algorithm': 'SAMME'}",3,"[ 0.37074535  0.39565531  0.42004591  0.44091326  0.46086329  0.48747297
  0.52045218  0.55471046  0.59389281  0.58816351  0.59682166  1.        ]","[ 1.          0.99947984  0.99947984  0.99947984  0.99687906  0.99687906
  0.910013    0.83459038  0.74356307  0.50143043  0.26371912  0.        ]","[ 0.28156598  0.28179     0.29290679  0.29816683  0.29964734  0.4842144
  0.48816829  0.49092705  0.50586442  0.50740492  0.50833143]",0.736465487893
AB,"{'n_estimators': 10, 'algorithm': 'SAMME.R'}",3,"[ 0.35101333  0.35095408  0.350064    0.36086752  0.38056881  0.38060666
  0.3903907   0.39047036  0.39055006  0.39106887  0.39126879  0.40052329
  0.40271493  0.41579748  0.4161592   0.4164309   0.43321259  0.43326163
  0.43347688  0.44382544  0.44379935  0.45548802  0.45565093  0.4559227
  0.45663082  0.45695839  0.45701303  0.46540574  0.47770541  0.48011078
  0.48205258  0.48211351  0.4848716   0.48524173  0.48710089  0.48651068
  0.48657289  0.48571795  0.48558616  0.4858902   0.48595253  0.48601488
  0.48626444  0.48619494  0.48644482  0.4866881   0.48693862  0.48693526
  0.48687443  0.48700039  0.48737864  0.48813691  0.48845355  0.48818489
  0.48906925  0.48911333  0.4890348   0.48902904  0.48845541  0.48870582
  0.49619166  0.4963919   0.50758372  0.51814453  0.52424193  0.52441993
  0.52594648  0.55022302  0.58464293  0.59840704  0.59832285  0.60058923
  0.60445021  0.60427923  0.60377358  0.60408518  0.60942579  0.62152886
  0.62366938  0.64663024  0.64686589  0.64257659  0.64282908  0.63803681
  0.62522852  0.62546125  0.52980132  0.53741497  0.52919708  0.53441296
  0.53061224  0.51111111  0.51231527  0.48704663  0.4973545   0.47752809
  0.49707602  0.46451613  0.52941176  0.51807229  0.48076923  0.54347826
  0.47058824  0.37931034  0.39130435  0.45        1.          1.        ]","[ 1.          0.99973992  0.99583875  0.9953186   0.9953186   0.9953186
  0.9953186   0.9953186   0.9953186   0.9953186   0.9953186   0.9953186
  0.9953186   0.9953186   0.9953186   0.9953186   0.9953186   0.9953186
  0.99479844  0.99453836  0.99401821  0.99401821  0.99401821  0.99401821
  0.99401821  0.99401821  0.99401821  0.99193758  0.99193758  0.99193758
  0.99193758  0.99193758  0.99193758  0.99193758  0.99193758  0.98959688
  0.98959688  0.98621586  0.98569571  0.98517555  0.98517555  0.98517555
  0.98517555  0.9846554   0.9846554   0.98413524  0.98413524  0.98387516
  0.97919376  0.97919376  0.97919376  0.97919376  0.97919376  0.97789337
  0.9716515   0.96983095  0.96853056  0.9680104   0.9573472   0.95656697
  0.93185956  0.93029909  0.87906372  0.85409623  0.84083225  0.84057217
  0.83823147  0.80208062  0.76436931  0.74252276  0.74226268  0.74226268
  0.72769831  0.72717815  0.72405722  0.72301691  0.58517555  0.51807542
  0.51807542  0.46163849  0.46163849  0.42548765  0.42548765  0.35162549
  0.17789337  0.1763329   0.04161248  0.04109233  0.03771131  0.0343303
  0.03381014  0.02990897  0.02704811  0.02444733  0.02444733  0.02210663
  0.02210663  0.01872562  0.01170351  0.01118336  0.00650195  0.00650195
  0.00416125  0.00286086  0.0023407   0.0023407   0.0023407   0.        ]","[ 0.0234767   0.02362382  0.02369011  0.02370602  0.02371565  0.02401087
  0.02406463  0.02411635  0.0245273   0.02503127  0.02506102  0.02515991
  0.02523692  0.02534764  0.02625271  0.02679328  0.0269607   0.02707275
  0.02708455  0.02713318  0.02752858  0.02758999  0.02822631  0.02828611
  0.02845059  0.02851534  0.02864612  0.02892892  0.0300526   0.03147497
  0.03172112  0.03328102  0.12116751  0.12821385  0.12824811  0.13457613
  0.14477183  0.38822284  0.40366609  0.40780445  0.40876118  0.41715643
  0.41801737  0.4218001   0.42445459  0.42669929  0.42896803  0.43210776
  0.43734518  0.43812924  0.44314648  0.44994685  0.45176812  0.45395664
  0.45538798  0.45887491  0.46289969  0.46608507  0.4678092   0.46839213
  0.46924669  0.47000584  0.47100602  0.47157701  0.47212523  0.4772623
  0.48277198  0.48374372  0.48391413  0.48481192  0.48486546  0.48522742
  0.49030694  0.49386429  0.49916192  0.50136708  0.50269697  0.50296642
  0.50605535  0.50609251  0.50662814  0.51475706  0.5153011   0.51710556
  0.51831615  0.5188113   0.53047818  0.53086601  0.53724442  0.54055273
  0.5412908   0.54568422  0.55320436  0.55383628  0.55556978  0.56139825
  0.5652244   0.5766014   0.58324512  0.58748338  0.59560064  0.84304608
  0.84438714  0.85028328  0.88728998  0.92360107  0.97385415]",0.735371889531
AB,"{'n_estimators': 100, 'algorithm': 'SAMME'}",3,"[ 0.36201864  0.36624416  0.38884954  0.38888889  0.38896761  0.38900698
  0.38908575  0.38928282  0.38932226  0.38983567  0.38995434  0.39042975
  0.39058847  0.39290461  0.40346457  0.40367647  0.41681128  0.41767199
  0.43058824  0.45116224  0.45121522  0.45544202  0.45789034  0.45860254
  0.4587123   0.45876721  0.45882212  0.45887705  0.45898695  0.45942706
  0.46141808  0.46147363  0.47432248  0.48710128  0.48716319  0.48722512
  0.48734901  0.48747297  0.48688566  0.48590381  0.48504983  0.48511182
  0.48560461  0.48572891  0.48597053  0.48651772  0.48676773  0.4870806
  0.49524065  0.49570008  0.52160356  0.5347342   0.5352378   0.53557405
  0.53547271  0.55323953  0.5536242   0.55384346  0.57863671  0.57869665
  0.57880694  0.57906799  0.5795107   0.59133373  0.59145129  0.59183267
  0.59249651  0.59318637  0.59378134  0.5941389   0.59461631  0.59541063
  0.59765467  0.59805313  0.59751629  0.59591002  0.59619321  0.59569672
  0.59568345  0.59560033  0.59608651  0.59633217  0.59855222  0.61037477
  0.61093321  0.62544803  0.62567325  0.62646265  0.65505985  0.65479651
  0.65277778  0.64858882  0.64682981  0.64465585  0.6430579   0.64559819
  0.64591662  0.63029433  0.52597403  0.53880266  0.5075      0.51005025
  0.50130548  0.48189415  0.47008547  0.46704871  0.46086957  0.46130952
  0.44224422  0.44966443  0.4245614   0.40794224  0.39207048  0.37209302
  0.38095238  0.39215686  0.36082474  0.36170213  0.3258427   0.27922078
  0.23448276  0.22377622  0.20588235  0.23333333  0.23        0.25842697
  0.29230769  0.35185185  0.18604651  0.21621622  0.2962963   0.          0.
  1.        ]","[ 1.          0.99947984  0.99947984  0.99947984  0.99947984  0.99947984
  0.99947984  0.99947984  0.99947984  0.99947984  0.99947984  0.99947984
  0.99947984  0.99947984  0.99947984  0.99947984  0.99947984  0.99947984
  0.99947984  0.99947984  0.99947984  0.99687906  0.99687906  0.99687906
  0.99687906  0.99687906  0.99687906  0.99687906  0.99687906  0.99687906
  0.99687906  0.99687906  0.99687906  0.99687906  0.99687906  0.99687906
  0.99687906  0.99687906  0.99453836  0.99063719  0.98725618  0.98725618
  0.9869961   0.9869961   0.98647594  0.98543563  0.98543563  0.98543563
  0.96072822  0.95942783  0.9136541   0.88686606  0.88686606  0.88686606
  0.88530559  0.8283485   0.8283485   0.82262679  0.79037711  0.78985696
  0.78985696  0.78855657  0.78855657  0.77373212  0.77373212  0.77269181
  0.77217165  0.76983095  0.76983095  0.76983095  0.76983095  0.76931079
  0.76879064  0.76697009  0.763329    0.75786736  0.75760728  0.75604681
  0.75370611  0.75344603  0.7526658   0.7526658   0.7526658   0.6946684
  0.6946684   0.54460338  0.54382315  0.54304291  0.46970091  0.4686606
  0.46449935  0.30481144  0.30247074  0.29960988  0.29752926  0.29752926
  0.29414824  0.2283485   0.06319896  0.06319896  0.05279584  0.05279584
  0.04993498  0.0449935   0.04291287  0.04239272  0.04135241  0.04031209
  0.03485046  0.03485046  0.03146944  0.02938882  0.02314694  0.02080624
  0.02080624  0.02080624  0.01820546  0.01768531  0.01508453  0.01118336
  0.00884265  0.0083225   0.00728218  0.00728218  0.00598179  0.00598179
  0.00494148  0.00494148  0.00208062  0.00208062  0.00208062  0.          0.
  0.        ]","[ 0.32961574  0.32982239  0.33081876  0.33083494  0.33123485  0.33138292
  0.33148183  0.33275608  0.33281701  0.33312095  0.3336306   0.33398989
  0.33405176  0.33419025  0.33434187  0.33506058  0.33557943  0.33564062
  0.33603504  0.33667573  0.33717188  0.33766893  0.33770998  0.33865262
  0.33895909  0.33934786  0.33952864  0.34121184  0.34209106  0.34221728
  0.34223494  0.34229379  0.34317434  0.34342991  0.34390708  0.34392577
  0.34480832  0.45517603  0.45552304  0.46416803  0.48929846  0.49038968
  0.49123609  0.49195275  0.49199647  0.49210399  0.49221305  0.49243816
  0.49306546  0.4934152   0.49356118  0.49382684  0.49387056  0.49424805
  0.49465122  0.49499647  0.49522517  0.4952758   0.49577717  0.49623254
  0.49627322  0.49635733  0.49652554  0.4966538   0.49727233  0.49743488
  0.49765155  0.49773299  0.49808169  0.4983686   0.4984121   0.49888866
  0.49894569  0.49898714  0.50027754  0.50028633  0.50047947  0.5006035
  0.50077427  0.50082015  0.50088339  0.50126356  0.50148872  0.50160098
  0.50164464  0.50194619  0.50199237  0.50206097  0.50210667  0.50211614
  0.50246594  0.50277067  0.50285848  0.50329889  0.50344133  0.50347318
  0.50351905  0.50377575  0.50418568  0.50427607  0.50431487  0.50464502
  0.50477317  0.50485728  0.50570361  0.50577221  0.5059829   0.50618397
  0.50628905  0.5068938   0.50689493  0.50748675  0.50854011  0.50856807
  0.5089735   0.50952946  0.51041389  0.51043277  0.5104335   0.51061648
  0.51076585  0.51154193  0.51168633  0.51317486  0.51319206  0.5140044
  0.51430006  0.51512949  0.51533571  0.5167447   0.51676176  0.51779177
  0.5236492 ]",0.693285726932
AB,"{'n_estimators': 100, 'algorithm': 'SAMME.R'}",3,"[ 0.34755491  0.34743694  0.34746835 ...,  1.          1.          1.        ]","[ 1.          0.99947984  0.99947984 ...,  0.00286086  0.0023407   0.        ]","[ 0.3238892   0.3239104   0.32396309 ...,  0.58934575  0.58949248
  0.59849617]",0.733087713081
AB,"{'n_estimators': 1000, 'algorithm': 'SAMME'}",3,"[ 0.36349026  0.36336989  0.363473   ...,  0.          0.          1.        ]","[ 1.          0.99947984  0.99947984 ...,  0.          0.          0.        ]","[ 0.42250923  0.42251139  0.42252452 ...,  0.51095832  0.51470388
  0.51494671]",0.731231801809
AB,"{'n_estimators': 1000, 'algorithm': 'SAMME.R'}",3,"[ 0.34764919  0.3475902   0.34762163 ...,  0.          0.          1.        ]","[ 1.          0.99973992  0.99973992 ...,  0.          0.          0.        ]","[ 0.48115094  0.48115552  0.48120743 ...,  0.51510725  0.51514399
  0.51515082]",0.693064714114
GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'n_estimators': 1, 'max_depth': 1}",3,"[ 0.34695903  0.38089492  0.34231186  0.39409973  0.3421765   0.49505342
  1.        ]","[ 1.          0.98517555  0.65773732  0.63927178  0.32873862  0.32535761
  0.        ]",[ 0.34156929  0.3419948   0.34535545  0.34581102  0.34900103  0.34951359],0.5
GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'n_estimators': 1, 'max_depth': 3}",3,"[ 0.3827394   0.38966526  0.38145392  0.34233635  0.34231186  0.3955922
  0.39464665  0.41810602  0.34267241  0.3421765   0.49568627  0.57938014
  0.58542413  1.          1.        ]","[  1.00000000e+00   9.35500650e-01   8.66579974e-01   6.69180754e-01
   6.57737321e-01   6.48894668e-01   6.28868661e-01   5.47724317e-01
   3.30819246e-01   3.28738622e-01   3.28738622e-01   2.38231469e-01
   1.27438231e-01   5.20156047e-04   0.00000000e+00]","[ 0.34187854  0.34200675  0.34225737  0.34237654  0.34535011  0.34562781
  0.34563117  0.34605732  0.34635032  0.34900103  0.34925736  0.34939544
  0.34967523  0.34980108]",0.5
